Rótulo,Média,Mediana,90% Line,95% Line,99% Line,Mín,Max.,Vazão,KB/s
"Execução - Grupo de 100 usuários:_find - 1 parâmetro, filtro de campos e sort","18,972.00","19,880.00","25,213.00","25,457.00","25,600.00","7,202.00","25,695.00",1.44,4.87
"Validação 1 - Grupo de 100 usuários:_find - 1 parâmetro, filtro de campos e sort","18,429.00","19,488.00","25,297.00","25,597.00","25,712.00","5,813.00","25,805.00",1.42,4.81
"Validação 2 - Grupo de 100 usuários:_find - 1 parâmetro, filtro de campos e sort","20,969.00","22,743.00","27,521.00","27,650.00","27,757.00","5,961.00","27,818.00",1.37,4.65
"Validação 3 - Grupo de 100 usuários:_find - 1 parâmetro, filtro de campos e sort","19,863.00","21,702.00","26,654.00","26,840.00","26,935.00","5,342.00","27,010.00",1.40,4.75
,,,,,,,,,
Grupo de 100 usuários,19753.67,21311.00,26490.67,26695.67,26801.33,5705.33,26877.67,1.40,4.74
,,,,,,,,,
,,,,,,,,,
Rótulo,Média,Mediana,90% Line,95% Line,99% Line,Mín,Max.,Vazão,KB/s
"Execução - Grupo de 500 usuários:_find - 1 parâmetro, filtro de campos e sort","81,851.00","94,236.00","126,297.00","127,271.00","128,001.00",615.00,"128,189.00",1.40,4.72
"Validação 1 - Grupo de 500 usuários:_find - 1 parâmetro, filtro de campos e sort","91,132.00","105,359.00","137,101.00","138,686.00","139,598.00",888.00,"140,052.00",1.36,4.60
"Validação 2 - Grupo de 500 usuários:_find - 1 parâmetro, filtro de campos e sort","92,150.00","105,914.00","138,523.00","139,312.00","140,135.00",696.00,"140,309.00",1.35,4.58
"Validação 3 - Grupo de 500 usuários:_find - 1 parâmetro, filtro de campos e sort","90,243.00","103,981.00","134,755.00","135,883.00","136,640.00",798.00,"136,856.00",1.36,4.60
,,,,,,,,,
Grupo de 500 usuários,91175.00,105084.67,136793.00,137960.33,138791.00,794.00,139072.33,1.36,4.59
,,,,,,,,,
,,,,,,,,,
Rótulo,Média,Mediana,90% Line,95% Line,99% Line,Mín,Max.,Vazão,KB/s
"Execução - Grupo de 1000 usuários:_find - 1 parâmetro, filtro de campos e sort","282,992.00","329,761.00","385,747.00","387,370.00","388,619.00",746.00,"389,637.00",1.19,4.00
"Validação 1 - Grupo de 1000 usuários:_find - 1 parâmetro, filtro de campos e sort","300,398.00","358,502.00","425,610.00","427,773.00","429,561.00","1,094.00","430,461.00",1.13,3.81
"Validação 2 - Grupo de 1000 usuários:_find - 1 parâmetro, filtro de campos e sort","269,794.00","312,718.00","373,819.00","376,048.00","377,951.00","1,461.00","378,743.00",1.20,4.02
"Validação 3 - Grupo de 1000 usuários:_find - 1 parâmetro, filtro de campos e sort","303,946.00","355,788.00","424,376.00","427,183.00","429,030.00","1,110.00","429,673.00",1.14,3.84
,,,,,,,,,
Grupo de 1000 usuários,291379.33,342336.00,407935.00,410334.67,412180.67,1221.67,412959.00,1.16,3.89
,,,,,,,,,
,,,,,,,,,
Comparação 100 - 500,461.5598792,493.1005897,516.3818703,516.7892417,517.8511019,13.91680299,517.427108,97.25003697,96.973962
Comparação 100 - 1000,1475.064545,1606.381681,1539.91972,1537.083422,1537.911049,21.41271325,1536.439175,82.90486163,82.1252639
,,,,,,,,,
Aumento 100 - 500,361.56,393.10,416.38,416.79,417.85,-86.08,417.43,-2.75,-3.03
Aumento 100 - 1000,1375.06,1506.38,1439.92,1437.08,1437.91,-78.59,1436.44,-17.10,-17.87
